"month","day","rise","rise_day","set","set_day","rise_date","set_date","utc_offset"
"2","28","0600","SAME","1901","SAME","2018-02-28 06:00:00","2018-02-28 19:01:00","UTC+10:00"
"3","1","0601","SAME","1900","SAME","2018-03-01 06:01:00","2018-03-01 19:00:00","UTC+10:00"
"3","2","0602","SAME","1859","SAME","2018-03-02 06:02:00","2018-03-02 18:59:00","UTC+10:00"
"3","3","0604","SAME","1857","SAME","2018-03-03 06:04:00","2018-03-03 18:57:00","UTC+10:00"
"3","4","0605","SAME","1856","SAME","2018-03-04 06:05:00","2018-03-04 18:56:00","UTC+10:00"
"3","5","0606","SAME","1854","SAME","2018-03-05 06:06:00","2018-03-05 18:54:00","UTC+10:00"
"3","6","0607","SAME","1853","SAME","2018-03-06 06:07:00","2018-03-06 18:53:00","UTC+10:00"
"3","7","0608","SAME","1851","SAME","2018-03-07 06:08:00","2018-03-07 18:51:00","UTC+10:00"
"3","8","0609","SAME","1850","SAME","2018-03-08 06:09:00","2018-03-08 18:50:00","UTC+10:00"
"3","9","0610","SAME","1848","SAME","2018-03-09 06:10:00","2018-03-09 18:48:00","UTC+10:00"
"3","10","0611","SAME","1846","SAME","2018-03-10 06:11:00","2018-03-10 18:46:00","UTC+10:00"
"3","11","0612","SAME","1845","SAME","2018-03-11 06:12:00","2018-03-11 18:45:00","UTC+10:00"
"3","12","0613","SAME","1843","SAME","2018-03-12 06:13:00","2018-03-12 18:43:00","UTC+10:00"
"3","13","0614","SAME","1842","SAME","2018-03-13 06:14:00","2018-03-13 18:42:00","UTC+10:00"
"3","14","0615","SAME","1840","SAME","2018-03-14 06:15:00","2018-03-14 18:40:00","UTC+10:00"
"3","15","0616","SAME","1839","SAME","2018-03-15 06:16:00","2018-03-15 18:39:00","UTC+10:00"
"3","16","0617","SAME","1837","SAME","2018-03-16 06:17:00","2018-03-16 18:37:00","UTC+10:00"
"3","17","0618","SAME","1836","SAME","2018-03-17 06:18:00","2018-03-17 18:36:00","UTC+10:00"
"3","18","0619","SAME","1834","SAME","2018-03-18 06:19:00","2018-03-18 18:34:00","UTC+10:00"
"3","19","0620","SAME","1832","SAME","2018-03-19 06:20:00","2018-03-19 18:32:00","UTC+10:00"
"3","20","0621","SAME","1831","SAME","2018-03-20 06:21:00","2018-03-20 18:31:00","UTC+10:00"
"3","21","0622","SAME","1829","SAME","2018-03-21 06:22:00","2018-03-21 18:29:00","UTC+10:00"
"3","22","0623","SAME","1828","SAME","2018-03-22 06:23:00","2018-03-22 18:28:00","UTC+10:00"
